Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.70
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.05
Start Time:	March 27, 2025, 03:41:31
End Time:	March 27, 2025, 03:43:11
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		0
105		12
106		5
107		11
108		11
109		13
110		8
111		12
112		10
113		9
114		13
115		9
116		9
117		6
118		17
119		12
120		18
121		6
122		7
123		10
124		9
125		11
126		6
127		8
128		14
129		11
130		10
131		14
132		9
133		11
134		12
135		10
136		12
137		11
138		6
139		10
140		12
141		8
142		8
143		6
144		10
145		10
146		16
147		5
148		13
149		9
150		6
151		7
152		7
153		8
154		8
155		11
156		11
157		8
158		13
159		7
160		9
161		6
162		19
163		9
164		9
165		10
166		17
167		8
168		10
169		19
170		5
171		14
172		9
173		12
174		15
175		12
176		15
177		9
178		13
179		18
180		10
181		16
182		11
183		13
184		10
185		10
186		15
187		14
188		14
189		11
190		7
191		10
192		19
193		17
194		23
195		19
196		20
197		19
198		15
199		17
200		22
201		11
202		13
203		19
204		15
205		16
206		22
207		21
208		25
209		33
210		24
211		25
212		20
213		29
214		22
215		28
216		27
217		26
218		37
219		32
220		28
221		54
222		41
223		38
224		54
225		56
226		48
227		56
228		52
229		69
230		60
231		63
232		74
233		79
234		81
235		91
236		82
237		104
238		114
239		114
240		112
241		111
242		138
243		125
244		144
245		148
246		171
247		145
248		191
249		184
250		189
251		212
252		219
253		221
254		254
255		237
256		227
257		256
258		257
259		298
260		299
261		291
262		330
263		276
264		300
265		327
266		322
267		364
268		346
269		388
270		366
271		372
272		361
273		388
274		425
275		393
276		416
277		423
278		422
279		410
280		397
281		413
282		394
283		418
284		423
285		411
286		382
287		435
288		405
289		395
290		438
291		388
292		361
293		376
294		380
295		359
296		353
297		355
298		381
299		362
300		377
301		352
302		343
303		332
304		329
305		342
306		304
307		293
308		329
309		277
310		267
311		269
312		282
313		267
314		264
315		244
316		213
317		233
318		231
319		242
320		244
321		205
322		205
323		199
324		212
325		194
326		192
327		177
328		171
329		177
330		163
331		149
332		158
333		139
334		148
335		145
336		150
337		115
338		136
339		117
340		116
341		115
342		143
343		135
344		102
345		100
346		104
347		105
348		109
349		82
350		82
351		99
352		76
353		74
354		75
355		73
356		60
357		91
358		68
359		76
360		69
361		62
362		62
363		53
364		58
365		67
366		49
367		39
368		45
369		70
370		47
371		51
372		57
373		47
374		41
375		32
376		41
377		40
378		43
379		41
380		45
381		26
382		25
383		34
384		31
385		30
386		31
387		26
388		26
389		29
390		25
391		23
392		9
393		22
394		26
395		33
396		27
397		28
398		29
399		22
400		24
401		36
402		22
403		21
404		24
405		24
406		24
407		26
408		26
409		26
410		28
411		21
412		17
413		30
414		27
415		18
416		27
417		24
418		22
419		21
420		18
421		26
422		21
423		29
424		23
425		22
426		28
427		17
428		29
429		25
430		24
431		17
432		22
433		29
434		26
435		23
436		21
437		35
438		32
439		23
440		26
441		24
442		19
443		29
444		26
445		35
446		22
447		27
448		26
449		32
450		32
451		28
452		13
453		23
454		26
455		24
456		25
457		32
458		31
459		34
460		27
461		21
462		33
463		27
464		33
465		37
466		34
467		26
468		24
469		26
