Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.70
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.07
Start Time:	March 27, 2025, 03:18:49
End Time:	March 27, 2025, 03:20:29
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		22
105		119
106		99
107		98
108		89
109		90
110		90
111		78
112		79
113		87
114		104
115		107
116		87
117		93
118		107
119		90
120		88
121		95
122		81
123		91
124		131
125		113
126		110
127		104
128		110
129		94
130		91
131		139
132		115
133		109
134		116
135		116
136		127
137		120
138		109
139		112
140		114
141		105
142		100
143		107
144		124
145		100
146		113
147		112
148		127
149		101
150		121
151		102
152		103
153		97
154		95
155		106
156		132
157		118
158		103
159		112
160		122
161		114
162		120
163		122
164		126
165		140
166		141
167		141
168		143
169		163
170		158
171		168
172		187
173		183
174		181
175		219
176		225
177		241
178		286
179		253
180		294
181		311
182		327
183		369
184		383
185		385
186		418
187		448
188		469
189		465
190		551
191		506
192		512
193		525
194		566
195		590
196		559
197		584
198		613
199		612
200		579
201		580
202		514
203		506
204		448
205		458
206		385
207		392
208		387
209		346
210		338
211		304
212		263
213		262
214		230
215		218
216		188
217		162
218		166
219		140
220		131
221		117
222		124
223		94
224		92
225		96
226		106
227		79
228		61
229		70
230		62
231		86
232		69
233		65
234		53
235		74
236		68
237		56
238		53
239		53
240		63
241		52
242		69
243		57
244		59
245		61
246		50
247		66
248		75
249		52
250		55
251		56
252		56
253		65
254		43
255		60
256		51
257		61
258		54
259		47
260		47
261		56
262		52
263		62
264		44
265		54
266		70
267		53
268		56
269		51
270		43
271		37
272		52
273		74
274		57
275		58
276		55
277		59
278		49
279		54
280		55
281		43
282		51
283		57
284		49
285		62
286		48
287		45
288		63
289		78
290		53
291		46
292		55
293		56
294		59
295		68
296		52
297		46
298		55
299		61
300		70
301		60
302		50
303		73
304		57
305		60
306		55
307		58
308		64
309		72
310		56
311		50
312		63
313		64
314		54
315		64
316		65
317		72
318		59
319		53
320		47
321		93
322		76
323		69
324		73
325		67
326		66
327		78
328		55
329		79
330		79
331		71
332		74
333		65
334		72
335		74
336		84
337		80
338		84
339		86
340		75
341		74
342		73
343		67
344		84
345		91
346		75
347		77
348		72
349		62
350		82
351		78
352		73
353		73
354		83
355		70
356		75
357		82
358		70
359		75
360		77
361		95
362		78
363		76
364		53
365		74
366		82
367		69
368		85
369		67
370		71
371		82
372		67
373		61
374		78
375		82
376		62
377		69
378		72
379		62
380		84
381		68
382		62
383		51
384		69
385		89
386		48
387		60
388		73
389		55
390		61
391		51
392		67
393		67
394		66
395		67
396		48
397		64
398		58
399		56
400		59
401		52
402		54
403		43
404		55
405		45
406		52
407		59
408		47
409		55
410		56
411		43
412		49
413		49
414		66
415		44
416		51
417		42
418		47
419		50
420		34
421		46
422		48
423		52
424		53
425		52
426		48
427		42
428		51
429		33
430		35
431		58
432		45
433		53
434		60
435		38
436		55
437		47
438		54
439		47
440		48
441		40
442		47
443		53
444		40
445		49
446		48
447		49
448		51
449		51
450		29
451		40
452		26
453		41
454		42
455		40
456		41
457		41
458		37
459		47
460		49
461		29
462		44
463		35
464		28
465		44
466		35
467		36
468		40
469		46
