Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1.70
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.11
Start Time:	March 27, 2025, 03:20:45
End Time:	March 27, 2025, 03:22:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		16
105		108
106		113
107		86
108		97
109		92
110		76
111		80
112		99
113		71
114		88
115		79
116		102
117		93
118		91
119		88
120		85
121		95
122		114
123		99
124		101
125		108
126		117
127		109
128		111
129		102
130		96
131		120
132		127
133		105
134		134
135		115
136		110
137		115
138		110
139		113
140		115
141		119
142		111
143		114
144		125
145		110
146		108
147		118
148		113
149		116
150		117
151		114
152		90
153		113
154		121
155		130
156		113
157		125
158		135
159		103
160		123
161		132
162		112
163		117
164		121
165		145
166		141
167		141
168		153
169		158
170		117
171		159
172		175
173		152
174		211
175		209
176		213
177		247
178		257
179		254
180		302
181		295
182		324
183		308
184		384
185		424
186		436
187		425
188		461
189		501
190		524
191		499
192		534
193		561
194		520
195		488
196		569
197		560
198		556
199		565
200		529
201		537
202		540
203		523
204		492
205		383
206		410
207		390
208		352
209		365
210		359
211		277
212		284
213		270
214		225
215		218
216		196
217		186
218		174
219		148
220		141
221		131
222		99
223		108
224		109
225		91
226		97
227		80
228		89
229		74
230		66
231		70
232		75
233		62
234		55
235		66
236		47
237		49
238		47
239		56
240		57
241		67
242		62
243		59
244		49
245		66
246		59
247		57
248		68
249		49
250		59
251		45
252		57
253		47
254		50
255		64
256		56
257		59
258		51
259		44
260		54
261		63
262		50
263		42
264		51
265		56
266		59
267		46
268		51
269		61
270		52
271		59
272		47
273		66
274		65
275		51
276		50
277		63
278		58
279		56
280		59
281		60
282		53
283		53
284		57
285		51
286		56
287		63
288		59
289		54
290		53
291		51
292		55
293		43
294		57
295		48
296		61
297		51
298		50
299		55
300		44
301		49
302		57
303		57
304		60
305		50
306		58
307		57
308		69
309		55
310		67
311		59
312		65
313		56
314		57
315		75
316		66
317		72
318		69
319		64
320		65
321		80
322		68
323		58
324		57
325		77
326		60
327		65
328		74
329		69
330		60
331		75
332		67
333		70
334		87
335		69
336		79
337		76
338		75
339		64
340		84
341		68
342		59
343		67
344		77
345		92
346		74
347		68
348		77
349		63
350		83
351		69
352		88
353		71
354		79
355		73
356		68
357		97
358		80
359		73
360		77
361		79
362		80
363		65
364		82
365		95
366		64
367		81
368		64
369		62
370		70
371		79
372		61
373		65
374		62
375		64
376		66
377		56
378		61
379		73
380		63
381		74
382		69
383		60
384		76
385		61
386		66
387		52
388		63
389		63
390		47
391		54
392		58
393		49
394		54
395		61
396		53
397		68
398		47
399		48
400		65
401		61
402		51
403		66
404		54
405		62
406		44
407		56
408		64
409		40
410		56
411		47
412		54
413		48
414		39
415		56
416		54
417		64
418		53
419		58
420		52
421		52
422		60
423		64
424		49
425		45
426		53
427		48
428		40
429		52
430		49
431		43
432		41
433		59
434		29
435		38
436		46
437		37
438		40
439		32
440		42
441		55
442		42
443		40
444		41
445		43
446		31
447		45
448		60
449		47
450		45
451		36
452		42
453		40
454		38
455		42
456		44
457		42
458		33
459		44
460		46
461		35
462		38
463		57
464		38
465		48
466		31
467		32
468		25
469		45
