Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.74
Start Time:	March 27, 2025, 03:57:02
End Time:	March 27, 2025, 03:58:42
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		13
105		63
106		62
107		74
108		76
109		62
110		71
111		73
112		86
113		74
114		56
115		71
116		63
117		78
118		66
119		62
120		67
121		91
122		71
123		66
124		76
125		65
126		64
127		55
128		60
129		70
130		81
131		77
132		67
133		61
134		66
135		73
136		64
137		66
138		65
139		69
140		67
141		61
142		84
143		63
144		65
145		79
146		66
147		81
148		62
149		62
150		65
151		72
152		52
153		64
154		74
155		70
156		78
157		64
158		60
159		65
160		44
161		56
162		70
163		63
164		68
165		66
166		66
167		42
168		53
169		53
170		50
171		68
172		67
173		51
174		63
175		59
176		87
177		63
178		75
179		60
180		61
181		68
182		59
183		71
184		66
185		78
186		62
187		75
188		85
189		64
190		69
191		78
192		75
193		78
194		67
195		71
196		74
197		75
198		64
199		64
200		73
201		66
202		57
203		56
204		54
205		71
206		70
207		73
208		73
209		69
210		65
211		55
212		56
213		65
214		67
215		51
216		52
217		48
218		53
219		49
220		58
221		54
222		46
223		70
224		36
225		43
226		51
227		51
228		52
229		48
230		44
231		51
232		50
233		40
234		48
235		42
236		34
237		46
238		41
239		44
240		32
241		44
242		47
243		43
244		45
245		34
246		31
247		43
248		54
249		42
250		36
251		39
252		33
253		41
254		47
255		30
256		46
257		36
258		30
259		42
260		32
261		38
262		31
263		33
264		34
265		43
266		61
267		37
268		44
269		42
270		39
271		47
272		43
273		34
274		50
275		37
276		49
277		41
278		28
279		37
280		51
281		41
282		32
283		40
284		38
285		31
286		44
287		40
288		41
289		21
290		30
291		27
292		33
293		25
294		29
295		42
296		20
297		33
298		32
299		37
300		29
301		42
302		26
303		37
304		36
305		32
306		37
307		36
308		33
309		34
310		22
311		35
312		32
313		30
314		28
315		31
316		36
317		32
318		20
319		36
320		39
321		28
322		32
323		36
324		41
325		31
326		29
327		29
328		33
329		28
330		30
331		34
332		33
333		45
334		36
335		31
336		33
337		33
338		28
339		25
340		33
341		28
342		30
343		35
344		32
345		29
346		35
347		26
348		32
349		23
350		32
351		26
352		45
353		31
354		31
355		27
356		41
357		27
358		30
359		38
360		28
361		27
362		36
363		30
364		31
365		21
366		34
367		41
368		24
369		36
370		30
371		36
372		28
373		34
374		23
375		30
376		28
377		28
378		27
379		31
380		33
381		29
382		24
383		33
384		26
385		23
386		23
387		28
388		30
389		30
390		28
391		30
392		39
393		33
394		30
395		36
396		32
397		28
398		27
399		29
400		29
401		31
402		34
403		33
404		28
405		29
406		23
407		34
408		27
409		22
410		25
411		37
412		22
413		23
414		25
415		29
416		28
417		29
418		32
419		37
420		33
421		31
422		23
423		38
424		39
425		39
426		31
427		34
428		24
429		25
430		34
431		23
432		35
433		29
434		32
435		36
436		35
437		35
438		21
439		31
440		22
441		23
442		23
443		19
444		30
445		34
446		23
447		30
448		25
449		23
450		23
451		27
452		23
453		19
454		23
455		20
456		13
457		25
458		22
459		28
460		25
461		20
462		22
463		17
464		24
465		25
466		25
467		27
468		15
469		21
