Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.50
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.75
Start Time:	March 27, 2025, 03:59:07
End Time:	March 27, 2025, 04:00:47
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		17
105		73
106		76
107		72
108		82
109		66
110		77
111		63
112		60
113		78
114		74
115		56
116		60
117		66
118		80
119		78
120		60
121		67
122		74
123		70
124		54
125		67
126		55
127		68
128		71
129		67
130		61
131		70
132		77
133		57
134		59
135		70
136		53
137		74
138		49
139		61
140		55
141		56
142		61
143		45
144		72
145		67
146		55
147		55
148		69
149		70
150		64
151		74
152		64
153		53
154		72
155		69
156		74
157		72
158		51
159		62
160		57
161		66
162		61
163		49
164		64
165		76
166		57
167		51
168		58
169		46
170		56
171		61
172		58
173		59
174		58
175		61
176		58
177		58
178		55
179		62
180		71
181		79
182		67
183		64
184		58
185		62
186		69
187		68
188		64
189		76
190		85
191		71
192		72
193		82
194		82
195		65
196		60
197		63
198		60
199		68
200		49
201		67
202		69
203		65
204		74
205		64
206		60
207		69
208		70
209		50
210		48
211		63
212		52
213		74
214		62
215		54
216		55
217		57
218		45
219		56
220		53
221		57
222		43
223		52
224		36
225		49
226		45
227		47
228		54
229		51
230		48
231		49
232		45
233		47
234		38
235		44
236		49
237		45
238		44
239		43
240		35
241		36
242		47
243		48
244		36
245		38
246		50
247		41
248		42
249		47
250		31
251		43
252		36
253		43
254		36
255		49
256		29
257		40
258		42
259		31
260		33
261		35
262		48
263		34
264		51
265		25
266		38
267		46
268		40
269		43
270		30
271		34
272		30
273		40
274		36
275		36
276		32
277		40
278		44
279		25
280		30
281		36
282		31
283		35
284		34
285		28
286		36
287		28
288		41
289		47
290		33
291		44
292		40
293		35
294		29
295		42
296		39
297		34
298		39
299		29
300		24
301		32
302		33
303		29
304		32
305		37
306		34
307		43
308		30
309		22
310		39
311		30
312		22
313		31
314		35
315		32
316		40
317		21
318		31
319		36
320		39
321		35
322		32
323		35
324		27
325		31
326		37
327		27
328		37
329		25
330		32
331		29
332		32
333		28
334		30
335		32
336		30
337		32
338		30
339		27
340		29
341		29
342		27
343		30
344		28
345		37
346		37
347		28
348		27
349		30
350		36
351		20
352		38
353		39
354		37
355		31
356		29
357		32
358		38
359		34
360		40
361		33
362		25
363		29
364		21
365		27
366		38
367		28
368		28
369		40
370		29
371		24
372		32
373		36
374		27
375		31
376		37
377		36
378		21
379		25
380		24
381		35
382		23
383		32
384		27
385		30
386		31
387		22
388		27
389		31
390		22
391		32
392		27
393		30
394		33
395		41
396		31
397		30
398		27
399		31
400		24
401		27
402		30
403		35
404		31
405		23
406		23
407		34
408		23
409		39
410		27
411		24
412		33
413		28
414		23
415		28
416		38
417		27
418		23
419		29
420		39
421		42
422		32
423		29
424		27
425		32
426		30
427		31
428		22
429		33
430		23
431		33
432		28
433		28
434		29
435		21
436		26
437		38
438		27
439		28
440		31
441		30
442		30
443		29
444		28
445		24
446		33
447		26
448		37
449		21
450		27
451		22
452		17
453		21
454		31
455		22
456		15
457		25
458		24
459		30
460		25
461		17
462		23
463		19
464		17
465		24
466		13
467		28
468		13
469		21
