Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.80
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.14
Start Time:	March 27, 2025, 02:23:00
End Time:	March 27, 2025, 02:24:41
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		162
105		371
106		374
107		392
108		353
109		421
110		376
111		412
112		382
113		401
114		357
115		341
116		381
117		359
118		335
119		325
120		325
121		329
122		312
123		286
124		285
125		269
126		276
127		271
128		267
129		280
130		279
131		290
132		265
133		272
134		254
135		305
136		252
137		292
138		271
139		283
140		239
141		246
142		256
143		258
144		262
145		254
146		231
147		246
148		259
149		261
150		219
151		246
152		215
153		258
154		231
155		211
156		242
157		253
158		216
159		237
160		249
161		228
162		208
163		216
164		218
165		244
166		212
167		256
168		218
169		228
170		258
171		229
172		225
173		222
174		216
175		225
176		220
177		225
178		213
179		196
180		217
181		222
182		218
183		218
184		201
185		240
186		201
187		210
188		193
189		220
190		193
191		220
192		191
193		225
194		211
195		203
196		211
197		198
198		209
199		183
200		213
201		188
202		190
203		184
204		182
205		162
206		187
207		171
208		174
209		164
210		157
211		169
212		154
213		166
214		132
215		129
216		124
217		120
218		123
219		119
220		117
221		99
222		122
223		121
224		99
225		122
226		109
227		98
228		101
229		107
230		97
231		99
232		76
233		86
234		104
235		96
236		79
237		75
238		82
239		91
240		81
241		73
242		75
243		80
244		91
245		94
246		76
247		73
248		62
249		72
250		70
251		63
252		84
253		76
254		71
255		67
256		76
257		65
258		60
259		62
260		53
261		61
262		59
263		59
264		72
265		63
266		77
267		61
268		58
269		64
270		54
271		51
272		66
273		75
274		56
275		59
276		54
277		52
278		49
279		63
280		59
281		73
282		58
283		81
284		54
285		56
286		49
287		60
288		63
289		61
290		73
291		72
292		69
293		69
294		69
295		87
296		87
297		104
298		112
299		111
300		128
301		126
302		179
303		177
304		192
305		219
306		233
307		275
308		309
309		298
310		348
311		397
312		437
313		423
314		494
315		523
316		549
317		599
318		643
319		641
320		703
321		714
322		771
323		764
324		740
325		771
326		747
327		812
328		797
329		855
330		817
331		795
332		741
333		736
334		752
335		681
336		704
337		669
338		588
339		561
340		543
341		500
342		447
343		432
344		377
345		329
346		316
347		260
348		256
349		205
350		202
351		157
352		143
353		154
354		118
355		110
356		96
357		86
358		58
359		54
360		56
361		42
362		47
363		51
364		42
365		43
366		27
367		34
368		29
369		32
370		30
371		24
372		19
373		26
374		28
375		19
376		30
377		33
378		27
379		31
380		20
381		25
382		25
383		26
384		30
385		23
386		23
387		28
388		31
389		29
390		25
391		25
392		34
393		18
394		26
395		35
396		31
397		24
398		32
399		32
400		24
401		25
402		31
403		31
404		33
405		20
406		17
407		20
408		29
409		32
410		30
411		21
412		22
413		30
414		27
415		35
416		22
417		31
418		31
419		25
420		36
421		23
422		24
423		32
424		23
425		35
426		27
427		33
428		27
429		31
430		32
431		27
432		23
433		34
434		23
435		28
436		24
437		34
438		29
439		38
440		27
441		33
442		29
443		43
444		32
445		23
446		25
447		25
448		25
449		30
450		18
451		28
452		31
453		23
454		34
455		24
456		23
457		35
458		37
459		25
460		22
461		42
462		34
463		30
464		28
465		30
466		24
467		23
468		31
469		33
