Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.80
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.17
Start Time:	March 27, 2025, 02:40:39
End Time:	March 27, 2025, 02:42:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		150
105		344
106		339
107		360
108		377
109		402
110		376
111		372
112		381
113		381
114		364
115		370
116		338
117		370
118		372
119		308
120		319
121		335
122		307
123		272
124		282
125		272
126		292
127		269
128		269
129		279
130		282
131		240
132		246
133		247
134		232
135		264
136		260
137		230
138		245
139		266
140		229
141		229
142		238
143		264
144		221
145		249
146		230
147		246
148		255
149		228
150		248
151		230
152		220
153		210
154		213
155		218
156		244
157		230
158		224
159		215
160		221
161		231
162		225
163		193
164		241
165		231
166		187
167		219
168		210
169		202
170		204
171		185
172		215
173		208
174		194
175		194
176		206
177		182
178		210
179		204
180		217
181		216
182		209
183		183
184		202
185		205
186		181
187		202
188		193
189		184
190		188
191		217
192		212
193		198
194		192
195		189
196		194
197		178
198		188
199		173
200		183
201		186
202		210
203		159
204		175
205		193
206		152
207		165
208		147
209		142
210		142
211		147
212		143
213		153
214		122
215		120
216		126
217		113
218		127
219		101
220		119
221		98
222		111
223		117
224		100
225		102
226		103
227		97
228		98
229		102
230		72
231		86
232		84
233		75
234		79
235		77
236		74
237		82
238		103
239		90
240		78
241		71
242		86
243		75
244		95
245		76
246		72
247		59
248		68
249		63
250		67
251		66
252		67
253		65
254		63
255		61
256		70
257		62
258		85
259		40
260		83
261		60
262		52
263		68
264		69
265		75
266		74
267		64
268		66
269		59
270		64
271		56
272		63
273		56
274		62
275		55
276		63
277		55
278		59
279		65
280		58
281		70
282		71
283		62
284		53
285		56
286		59
287		57
288		89
289		80
290		67
291		60
292		71
293		78
294		96
295		95
296		91
297		108
298		127
299		117
300		121
301		171
302		174
303		171
304		209
305		221
306		244
307		265
308		339
309		325
310		357
311		365
312		425
313		463
314		516
315		534
316		577
317		650
318		593
319		640
320		703
321		690
322		738
323		741
324		798
325		742
326		803
327		717
328		778
329		746
330		777
331		714
332		695
333		733
334		629
335		612
336		578
337		586
338		559
339		504
340		422
341		416
342		356
343		358
344		348
345		307
346		256
347		249
348		207
349		159
350		158
351		134
352		130
353		112
354		109
355		72
356		76
357		62
358		59
359		51
360		50
361		42
362		45
363		40
364		39
365		33
366		31
367		23
368		37
369		24
370		25
371		30
372		28
373		21
374		27
375		23
376		37
377		24
378		29
379		32
380		18
381		29
382		37
383		25
384		31
385		28
386		23
387		26
388		23
389		28
390		27
391		32
392		28
393		25
394		29
395		34
396		27
397		26
398		24
399		31
400		27
401		26
402		25
403		32
404		21
405		27
406		21
407		31
408		28
409		19
410		30
411		30
412		30
413		18
414		26
415		34
416		27
417		29
418		23
419		35
420		34
421		21
422		26
423		18
424		34
425		29
426		30
427		32
428		28
429		27
430		20
431		27
432		25
433		25
434		18
435		33
436		37
437		22
438		35
439		27
440		25
441		29
442		35
443		38
444		20
445		21
446		32
447		26
448		20
449		26
450		27
451		36
452		19
453		21
454		37
455		34
456		28
457		23
458		21
459		24
460		25
461		29
462		28
463		24
464		17
465		38
466		28
467		28
468		32
469		30
