Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	32
Fine Gain:	1.70
Upper Discriminator:	1048
Lower Discriminator:	103
Calibration Coefficients:Elapsed Real Time:	100.0
Elapsed Live Time:	99.93
Start Time:	March 27, 2025, 04:19:41
End Time:	March 27, 2025, 04:21:21
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
100		0
101		0
102		0
103		0
104		1
105		3
106		2
107		0
108		1
109		0
110		1
111		1
112		3
113		1
114		4
115		0
116		1
117		2
118		1
119		0
120		1
121		2
122		0
123		0
124		1
125		0
126		3
127		0
128		1
129		2
130		1
131		1
132		3
133		1
134		2
135		1
136		1
137		0
138		1
139		1
140		1
141		2
142		4
143		1
144		2
145		3
146		1
147		0
148		1
149		0
150		0
151		1
152		1
153		2
154		1
155		3
156		0
157		0
158		1
159		1
160		2
161		0
162		2
163		2
164		0
165		0
166		2
167		2
168		3
169		0
170		0
171		1
172		0
173		2
174		2
175		2
176		1
177		1
178		1
179		0
180		0
181		2
182		2
183		1
184		4
185		1
186		1
187		0
188		3
189		1
190		0
191		1
192		1
193		0
194		1
195		1
196		0
197		1
198		0
199		0
200		2
201		4
202		0
203		0
204		1
205		1
206		1
207		1
208		3
209		0
210		0
211		3
212		0
213		0
214		2
215		0
216		0
217		4
218		1
219		1
220		0
221		1
222		2
223		0
224		1
225		2
226		4
227		0
228		2
229		1
230		3
231		1
232		2
233		0
234		3
235		1
236		3
237		2
238		0
239		2
240		2
241		1
242		1
243		3
244		0
245		1
246		0
247		1
248		0
249		2
250		0
251		1
252		0
253		3
254		1
255		1
256		3
257		2
258		1
259		0
260		0
261		0
262		1
263		3
264		0
265		2
266		0
267		1
268		3
269		2
270		3
271		2
272		1
273		1
274		0
275		2
276		1
277		0
278		1
279		3
280		2
281		0
282		2
283		1
284		0
285		1
286		0
287		2
288		1
289		2
290		0
291		0
292		3
293		0
294		4
295		1
296		0
297		1
298		1
299		0
300		1
301		3
302		2
303		0
304		3
305		2
306		0
307		1
308		1
309		2
310		3
311		3
312		0
313		0
314		1
315		2
316		1
317		0
318		0
319		3
320		0
321		1
322		1
323		2
324		4
325		0
326		0
327		4
328		1
329		3
330		2
331		4
332		2
333		2
334		1
335		2
336		1
337		3
338		1
339		0
340		1
341		2
342		2
343		1
344		4
345		1
346		0
347		1
348		2
349		0
350		0
351		2
352		1
353		2
354		1
355		1
356		0
357		3
358		0
359		1
360		2
361		0
362		1
363		3
364		3
365		0
366		3
367		1
368		0
369		0
370		2
371		1
372		3
373		1
374		1
375		1
376		5
377		0
378		3
379		0
380		0
381		3
382		5
383		2
384		4
385		2
386		4
387		1
388		0
389		2
390		2
391		3
392		2
393		1
394		2
395		1
396		1
397		2
398		1
399		2
400		0
401		4
402		0
403		1
404		2
405		3
406		3
407		1
408		3
409		3
410		0
411		0
412		2
413		3
414		0
415		0
416		1
417		1
418		1
419		1
420		1
421		3
422		0
423		2
424		4
425		0
426		1
427		1
428		1
429		2
430		3
431		2
432		3
433		3
434		2
435		1
436		3
437		3
438		3
439		2
440		5
441		2
442		1
443		1
444		4
445		2
446		0
447		4
448		2
449		2
450		1
451		2
452		4
453		3
454		2
455		4
456		3
457		2
458		2
459		2
460		3
461		3
462		6
463		3
464		4
465		4
466		2
467		3
468		2
469		4
